good
"BBQ Grill"
toothbrush
"a men's suit"
blender
canoe
car
"cordless power drill"
hammer
"diamond necklace"
"food processor"
hammer
"cat carrier (for transporting cats)"
"high-end audio headphones"
"high-end digitial camera"
"iPad or tablet"
"jet ski"
"kid's boucy castle"
"kitchen timer (or egg timer)"
"mountain bike"
"pick-up truck"
"push lawnmower"
"ride-on lawnmower"
tuxedo
"vacation home"
"back-up electric generator"
"portable air conditioner"
"sewing machine"
